2025-05-09 09:15:13 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider MDC:[traceId=, spanId=]
2025-05-09 09:15:13 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. MDC:[traceId=, spanId=]
2025-05-09 09:15:14 [main] DEBUG o.s.s.web.DefaultSecurityFilterChain - Will secure any request with filters: DisableEncodeUrlFilter, WebAsyncManagerIntegrationFilter, SecurityContextHolderFilter, HeaderWriterFilter, LogoutFilter, JwtFilter, RequestCacheAwareFilter, SecurityContextHolderAwareRequestFilter, AnonymousAuthenticationFilter, SessionManagementFilter, ExceptionTranslationFilter, AuthorizationFilter MDC:[traceId=, spanId=]
2025-05-09 09:15:52 [http-nio-8012-exec-1] DEBUG o.s.security.web.FilterChainProxy - Securing POST /api/auth/login MDC:[traceId=, spanId=]
2025-05-09 09:15:52 [http-nio-8012-exec-1] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-05-09 09:15:52 [http-nio-8012-exec-1] DEBUG o.s.security.web.FilterChainProxy - Secured POST /api/auth/login MDC:[traceId=, spanId=]
2025-05-09 09:18:01 [http-nio-8012-exec-4] DEBUG o.s.security.web.FilterChainProxy - Securing POST /api/auth/login MDC:[traceId=, spanId=]
2025-05-09 09:18:01 [http-nio-8012-exec-4] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-05-09 09:18:01 [http-nio-8012-exec-4] DEBUG o.s.security.web.FilterChainProxy - Secured POST /api/auth/login MDC:[traceId=, spanId=]
2025-05-09 09:19:12 [http-nio-8012-exec-6] DEBUG o.s.security.web.FilterChainProxy - Securing POST /api/auth/refresh-token MDC:[traceId=, spanId=]
2025-05-09 09:19:12 [http-nio-8012-exec-6] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-05-09 09:19:12 [http-nio-8012-exec-6] DEBUG o.s.security.web.FilterChainProxy - Secured POST /api/auth/refresh-token MDC:[traceId=, spanId=]
2025-05-09 09:41:09 [http-nio-8012-exec-8] DEBUG o.s.security.web.FilterChainProxy - Securing POST /api/auth/login MDC:[traceId=, spanId=]
2025-05-09 09:41:09 [http-nio-8012-exec-8] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-05-09 09:41:09 [http-nio-8012-exec-8] DEBUG o.s.security.web.FilterChainProxy - Secured POST /api/auth/login MDC:[traceId=, spanId=]
2025-05-09 09:41:15 [http-nio-8012-exec-9] DEBUG o.s.security.web.FilterChainProxy - Securing POST /api/auth/login MDC:[traceId=, spanId=]
2025-05-09 09:41:15 [http-nio-8012-exec-9] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext MDC:[traceId=, spanId=]
2025-05-09 09:41:15 [http-nio-8012-exec-9] DEBUG o.s.security.web.FilterChainProxy - Secured POST /api/auth/login MDC:[traceId=, spanId=]
2025-05-09 09:41:16 [http-nio-8012-exec-10] DEBUG o.s.security.web.FilterChainProxy - Securing POST /api/auth/login MDC:[traceId=, spanId=]
